nom,prix,marque,ecran,ram,stockage,description
"PC Gamer HP Victus 15,6"" FHD 144Hz AMD Ryzen AI 5 340 Nvidia GeForce RTX 5060 16 Go RAM DDR5 SSD 512 Go Copilot+",899.99,HP,15.6,16,512,"PC Gamer HP Victus 15,6"" FHD 144Hz AMD Ryzen AI 5 340 Nvidia GeForce RTX 5060 16 Go RAM DDR5 SSD 512 Go Copilot+ NVIDIA GeForce RTX 5060"
"PC Gamer HP Victus 15,6"" FHD 144Hz AMD Ryzen AI 5 340 Nvidia GeForce RTX 5060 16 Go RAM DDR5 SSD 512 Go Copilot+",899.99,HP,15.6,16,512,"PC Gamer HP Victus 15,6"" FHD 144Hz AMD Ryzen AI 5 340 Nvidia GeForce RTX 5060 16 Go RAM DDR5 SSD 512 Go Copilot+ NVIDIA GeForce RTX 5060"
Ordinateur portable LENOVO IdeaPad Slim 5 16AKP10,849.99,LENOVO,16.0,32,512,Ordinateur portable LENOVO IdeaPad Slim 5 16AKP10 AMD Radeon 860M
Ordinateur portable ASUS Pack Vivobook 16 S1607QA-MB122W - sacoche et souris incluses,599.99,ASUS,16.0,16,512,Ordinateur portable ASUS Pack Vivobook 16 S1607QA-MB122W - sacoche et souris incluses Qualcomm Adreno GPU
Ordinateur portable LENOVO IdeaPad Slim 3 15Q8X10 512Go,549.99,LENOVO,15.3,16,512,Ordinateur portable LENOVO IdeaPad Slim 3 15Q8X10 512Go Qualcomm Adreno GPU
"PC Gamer ACER Nitro V 17,3"" FHD 144Hz AMD Ryzen 7 260 Nvidia GeForce RTX 5060 32 Go RAM DDR5 1 To",1299.99,ACER,17.3,32,1000,"PC Gamer ACER Nitro V 17,3"" FHD 144Hz AMD Ryzen 7 260 Nvidia GeForce RTX 5060 32 Go RAM DDR5 1 To NVIDIA GeForce RTX 5060"
Ordinateur portable ASUS Vivobook S14 S5406SA-QD004W,699.99,ASUS,14.0,16,512,Ordinateur portable ASUS Vivobook S14 S5406SA-QD004W Intel Arc Graphics
Ordinateur portable ACER Aspire A16-52M-599P,599.99,ACER,,16,512,Ordinateur portable ACER Aspire A16-52M-599P Intel Arc Graphics
"Ordinateur portable SAMSUNG Galaxy Book5 360 15,6 U5 16Go 512Go AI Copilot+PC",949.99,SAMSUNG,15.6,16,512,"Ordinateur portable SAMSUNG Galaxy Book5 360 15,6 U5 16Go 512Go AI Copilot+PC Intel Arc Graphics"
Ordinateur portable LENOVO IdeaPad Slim 3 15Q8X10 512Go,549.99,LENOVO,15.3,16,512,Ordinateur portable LENOVO IdeaPad Slim 3 15Q8X10 512Go Qualcomm Adreno GPU
Ordinateur portable SAMSUNG Pack Galaxy Book4 Edge SE 15.6' QC X1 16Go 256Go,649.99,SAMSUNG,15.6,16,256,Ordinateur portable SAMSUNG Pack Galaxy Book4 Edge SE 15.6' QC X1 16Go 256Go Qualcomm Adreno GPU
"PC Gamer ASUS TUF A18"" WUXGA 144Hz AMD Ryzen 7 260 Nvidia GeForce RTX 5070 16 Go RAM DDR5 SSD 1 To",1549.99,ASUS,18.0,16,1000,"PC Gamer ASUS TUF A18"" WUXGA 144Hz AMD Ryzen 7 260 Nvidia GeForce RTX 5070 16 Go RAM DDR5 SSD 1 To NVIDIA GeForce RTX 5070"
Ordinateur portable HP OmniBook 5 16-bf0005nf OLED Copilot+PC,599.99,HP,16.0,16,512,Ordinateur portable HP OmniBook 5 16-bf0005nf OLED Copilot+PC Qualcomm Adreno GPU
Ordinateur portable HP OmniBook 5 16-bf0005nf OLED Copilot+PC,599.99,HP,16.0,16,512,Ordinateur portable HP OmniBook 5 16-bf0005nf OLED Copilot+PC Qualcomm Adreno GPU
Ordinateur Apple MACBOOK Neo Puce A18 Pro CPU 6 / GPU 5 coeurs Mémoire RAM 8Go Stockage 256Go SSD Argent,799.0,MACBOOK,13.0,8,256,Ordinateur Apple MACBOOK Neo Puce A18 Pro CPU 6 / GPU 5 coeurs Mémoire RAM 8Go Stockage 256Go SSD Argent Apple A18 Pro 5 GPU
