nom,prix,marque,ecran,ram,stockage,description
"MSI Cyborg 17 B2RWFKG-069XFR - 17.3"" Core 5 210H RTX 5060 16Go 512Go Sans OS",1199.99,MSI,17.3,16,512,"MSI Cyborg 17 B2RWFKG-069XFR - 17.3"" Core 5 210H RTX 5060 16Go 512Go Sans OS"
"Asus ExpertBook P3605CVA-PL0191 - 16"" FHD+ i5-13420H 16Go 512Go Sans OS",769.99,Asus,16.0,16,512,"Asus ExpertBook P3605CVA-PL0191 - 16"" FHD+ i5-13420H 16Go 512Go Sans OS"
"Lenovo LOQ 15IRX1 - 15"" FHD 144Hz i7-13650HX RTX 5070 16Go 512Go W11",1549.99,Lenovo,15.0,16,512,"Lenovo LOQ 15IRX1 - 15"" FHD 144Hz i7-13650HX RTX 5070 16Go 512Go W11"
"MSI Katana 15 HX B14WGK-006FR - 15.6"" FHD 144Hz i7-14650HX RTX 5070 16Go 512Go W11",1499.0,MSI,15.6,16,512,"MSI Katana 15 HX B14WGK-006FR - 15.6"" FHD 144Hz i7-14650HX RTX 5070 16Go 512Go W11"
"Asus Zenbook UM3406GA-ISCQD168W - 14"" OLED FHD+ AI 7 445 16Go 512Go W11",949.99,Asus,14.0,16,512,"Asus Zenbook UM3406GA-ISCQD168W - 14"" OLED FHD+ AI 7 445 16Go 512Go W11"
"Samsung Galaxy Book4 - 16"" OLED Core Ultra 7 155H RTX 4050 32Go 1To W11P",2399.99,Samsung,16.0,32,1000,"Samsung Galaxy Book4 - 16"" OLED Core Ultra 7 155H RTX 4050 32Go 1To W11P"
"Asus ExpertBook P3 - 16"" FHD i5-13420H 16Go 512Go Sans OS",799.9,Asus,16.0,16,512,"Asus ExpertBook P3 - 16"" FHD i5-13420H 16Go 512Go Sans OS"
"MEDION SPRCHRGD 14 S1 Elite - 14"" 2.8K Qualcomm Snapdragon X1E-78-100 16Go 512Go W11",839.99,MEDION,14.0,16,512,"MEDION SPRCHRGD 14 S1 Elite - 14"" 2.8K Qualcomm Snapdragon X1E-78-100 16Go 512Go W11"
"MSI Modern 14 C7M-427XFR - 14"" FHD R7-7730U 16Go 512Go Sans OS avec Clavier rétroéclairé",749.9,MSI,14.0,16,512,"MSI Modern 14 C7M-427XFR - 14"" FHD R7-7730U 16Go 512Go Sans OS avec Clavier rétroéclairé"
"MSI Cyborg 15 B2RWEKG-400XFR - 15.6"" Intel Core 5 210H RTX 5050 16Go 512Go Sans OS",999.99,MSI,15.6,16,512,"MSI Cyborg 15 B2RWEKG-400XFR - 15.6"" Intel Core 5 210H RTX 5050 16Go 512Go Sans OS"
"Asus Vivobook M1607KA-MB095W - 16"" FHD+ R7 AI 350 16Go 512Go W11",849.99,Asus,16.0,16,512,"Asus Vivobook M1607KA-MB095W - 16"" FHD+ R7 AI 350 16Go 512Go W11"
