nom,prix,marque,ecran,ram,stockage,description
Acer Aspire Go 15 AG15-72P-32YM,579.99,Acer,15.6,16,512,"Intel Core i3-1305U 16 Go SSD 512 Go 15.6"" LED Full HD Wi-Fi 6/Bluetooth Webcam Windows 11 Famille"
Lenovo IdeaPad Slim 5 14IRH10 (83HR00AWFR),1099.95,Lenovo,14.0,32,1000,"Intel Core i7-13620H 32 Go SSD 1 To 14"" OLED Full HD+ Wi-Fi 6/Bluetooth Webcam Windows 11 Famille"
ASUS Vivobook 16 X1605VA-SH2001,599.95,ASUS,16.0,16,512,"Intel Core i3-1315U 16 Go SSD 512 Go 16"" OLED Full HD+ Wi-Fi 6E/Bluetooth Webcam (sans OS)"
MSI Modern 15 F13MG-677FR,649.99,MSI,15.6,16,512,"Intel Core i5-1334U 16 Go SSD 512 Go 15.6"" LED Full HD Wi-Fi 6E/Bluetooth Webcam Windows 11 Famille"
Lenovo ThinkPad P50 - Noir · Reconditionné,189.0,Lenovo,,,,Ordinateur portable professionnel - Intel Core i7 - écran IPS Full HD - SSD - Windows 7 Pro
ASUS ROG Flow Z13 GZ302EA-RU004W,2449.99,ASUS,13.4,32,1000,"AMD Ryzen AI MAX+ 395 32 Go SSD 1 To 13.4"" LED Tactile 2.5K 180 Hz Wi-Fi 7/Bluetooth Webcam Windows 11 Famille"
"MSI Cyborg 15 A13VE-2093XFR PC portable gaming 15,6"" FHD i7-13620H RTX 4050 16Go 512Go FreeDOS",949.4,MSI,6.0,16,512,"MSI Cyborg 15 A13VE-2093XFR 15,6"" Full HD (1920x1080, IPS-Level, 144 Hz) - Intel Core i7-13620H, 16 Go DDR5-5200, 512 Go PCIe 4.0 NVMe, GeForce RTX 4050 6 Go, Wi-Fi 6E, FreeDOS"
MSI Vector 16 HX AI A2XWHG-087FR,1999.95,MSI,16.0,16,1000,"Intel Core Ultra 7 255HX 16 Go SSD 1 To 16"" LED QHD+ 240 Hz NVIDIA GeForce RTX 5070 Ti 12 Go DLSS 4 Wi-Fi 7/Bluetooth Webcam Windows 11 Famille"
ASUS TUF Gaming A16 TUF608UP-RV120,1699.99,ASUS,16.0,16,512,"AMD Ryzen 7 260 16 Go SSD 512 Go 16"" LED Full HD+ 165 Hz NVIDIA GeForce RTX 5070 8 Go DLSS 4 Wi-Fi 6E/Bluetooth (sans OS)"
ASUS TUF Gaming F17 FX707VJB-HX113W,1149.99,ASUS,17.3,16,512,"Intel Core 5 210H 16 Go SSD 512 Go 17.3"" LED Full HD 144 Hz NVIDIA GeForce RTX 3050 6 Go Wi-Fi 6/Bluetooth Webcam Windows 11 Famille"
ASUS ROG STRIX G18 G814FP-S9035W,2799.99,ASUS,18.0,32,1000,"AMD Ryzen 9 9955HX 32 Go SSD 1 To 18"" LED QHD+ 240 Hz NVIDIA GeForce RTX 5070 8 Go DLSS 4 Wi-Fi 6E/Bluetooth Windows 11 Famille"
Asus E1504FA-BQ2398W - Noir,607.66,Asus,,,,Ordinateur portable - dalle OLED - Ryzen 5 - SSD - Wi-Fi 6E - Windows 11 - clavier AZERTY
ASUS ROG STRIX G16 G614FP-S5008W,2449.99,ASUS,16.0,32,1000,"AMD Ryzen 9 9955HX 32 Go SSD 1 To 16"" LED QHD+ 240 Hz NVIDIA GeForce RTX 5070 8 Go DLSS 4 Wi-Fi 6E/Bluetooth Webcam Windows 11 Famille"
MSI Cyborg 17 B13 WFKG-209FR,1499.99,MSI,17.3,32,512,"Intel Core i7-13620H 32 Go SSD 512 Go 17.3"" LED Full HD 144 Hz NVIDIA GeForce RTX 5060 8 Go DLSS 4 Wi-Fi 6E/Bluetooth Webcam Windows 11 Famille"
Ordinateur portable ACER PRO EX215-52-517E Core i5 1035G1 8GB 256GB,699.37,Ordinateur,,8,256,ACER Extensa EX215-52-517E Intel Core Extensa EX215-52-517E Intel Core i5-1035G1 15.6pcs 8Go 256Go SSD Win10P Intel Core i5 - 15.6'
